date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:49	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202019%2009:15:43%20GMT	https://templates-preview.com/robots.txt		(from )
14:45:49	2331/2331	---M--	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202019%2011:50:49%20GMT	https://templates-preview.com/gitex/	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/index.html	(from )
14:45:52	140936/140936	---M--	200	added ('OK')	text/css	date:Wed,%2011%20Sep%202019%2011:53:28%20GMT	https://templates-preview.com/gitex/css/bootstrap.min.css	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/css/bootstrap.min.css	(from https://templates-preview.com/gitex/)
14:45:53	55183/55183	---M--	200	added ('OK')	text/css	date:Wed,%2011%20Sep%202019%2011:53:28%20GMT	https://templates-preview.com/gitex/css/fontawesome.css	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/css/fontawesome.css	(from https://templates-preview.com/gitex/)
14:45:56	67463/67463	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Sep%202019%2015:08:51%20GMT	https://templates-preview.com/gitex/css/styles.css	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/css/styles.css	(from https://templates-preview.com/gitex/)
14:45:57	1393/1393	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2020:50:40%20GMT	https://templates-preview.com/gitex/customer/loading-logo.html	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/customer/loading-logo.html	(from https://templates-preview.com/gitex/)
14:45:59	1454/1454	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2020:50:38%20GMT	https://templates-preview.com/gitex/driver/loading-logo.html	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/driver/loading-logo.html	(from https://templates-preview.com/gitex/)
14:46:00	1612/1612	---M--	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202019%2011:50:48%20GMT	https://templates-preview.com/gitex/index-2.html	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/index-2.html	(from https://templates-preview.com/gitex/)
14:46:04	19187/19187	---M--	200	added ('OK')	application/javascript	date:Wed,%2011%20Sep%202019%2011:51:30%20GMT	https://templates-preview.com/gitex/js/popper.min.js	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/js/popper.min.js	(from https://templates-preview.com/gitex/)
14:46:06	51039/51039	---M--	200	added ('OK')	application/javascript	date:Wed,%2011%20Sep%202019%2011:51:14%20GMT	https://templates-preview.com/gitex/js/bootstrap.min.js	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/js/bootstrap.min.js	(from https://templates-preview.com/gitex/)
14:46:07	398737/398737	---M--	200	added ('OK')	application/javascript	date:Wed,%2011%20Sep%202019%2011:51:22%20GMT	https://templates-preview.com/gitex/js/jquery-3.4.1.js	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/js/jquery-3.4.1.js	(from https://templates-preview.com/gitex/)
14:46:08	33425/33425	---M--	200	added ('OK')	application/javascript	date:Wed,%2011%20Sep%202019%2011:51:25%20GMT	https://templates-preview.com/gitex/js/main.js	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/js/main.js	(from https://templates-preview.com/gitex/)
14:46:10	129648/129648	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Aug%202019%2020:51:04%20GMT	https://templates-preview.com/gitex/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-brands-400.eot	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:13	74656/74656	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2020:51:13%20GMT	https://templates-preview.com/gitex/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-brands-400.html	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:13	129648/129648	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Aug%202019%2020:51:04%20GMT	https://templates-preview.com/gitex/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-brands-400d41d.eot	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:15	87544/87544	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2021%20Aug%202019%2020:51:11%20GMT	https://templates-preview.com/gitex/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-brands-400.woff	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:17	129344/129344	---M--	200	added ('OK')	application/x-font-ttf	date:Wed,%2021%20Aug%202019%2020:51:09%20GMT	https://templates-preview.com/gitex/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-brands-400.ttf	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:19	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Aug%202019%2020:51:15%20GMT	https://templates-preview.com/gitex/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-regular-400.eot	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:21	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Aug%202019%2020:51:15%20GMT	https://templates-preview.com/gitex/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-regular-400d41d.eot	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:24	13584/13584	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2020:51:22%20GMT	https://templates-preview.com/gitex/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-regular-400.html	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:24	691865/691865	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Aug%202019%2020:51:07%20GMT	https://templates-preview.com/gitex/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-brands-400.svg	(from https://templates-preview.com/gitex/css/fontawesome.css)
14:46:26	16804/16804	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2021%20Aug%202019%2020:51:20%20GMT	https://templates-preview.com/gitex/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/Carpolling/templates-preview.com/gitex/webfonts/fa-regular-400.woff	(from https://templates-preview.com/gitex/css/fontawesome.css)
